followers,f_of_f_candidate_followers,n_f_of_f,ratio,n_candidate_followers,ratio_normalized,UserID,Real Name,Screenname,Profile Description,Profile Created At,URL,Location,UTC Offset,Time Zone,Favourites Count,Friends Count,Followers Count,Statuses Count,Profile Image URL,candidate_name,names_merge
1.5419490125669507e+17,44.92531017369727,4187.991315136476,0.06223992462954036,4030.0,1.5444150032144054e-05,32125811,David Baria,dbaria,"Husband, father, legislator and lawyer. Born and raised on the Mississippi Gulf Coast. 2018 Democratic nominee for U.S. Senate.",Thu Apr 16 19:41:26 +0000 2009,https://t.co/ENl7PU9lWD, ,None,None,11880,1803,7761,14205,http://pbs.twimg.com/profile_images/1165374048693575680/Q-hiqCu4.jpg,david baria,david baria
3.5244686303639443e+17,0.7691052488441664,1142.066358444384,0.0007952650641043519,3677.0,2.16280952979155e-07,33537967,Amy Klobuchar,amyklobuchar,U.S. Senator from Minnesota and candidate for President. Text AMY to 91990 to join our homegrown campaign.,Mon Apr 20 14:59:36 +0000 2009,http://t.co/mGGFBfggto, ,None,None,2,140138,756616,9628,http://pbs.twimg.com/profile_images/1059812997982511105/lgFAlE5t.jpg,amy klobuchar,amy klobuchar
2.2762322439099082e+17,19.620446818844098,3862.8924235065565,0.020494923260968585,4118.0,4.976911913785483e-06,41363507,Dean Heller,DeanHeller,"Love my state, stock car racing & the outdoors. All about common sense. Grandkids call me 'Duke'. Gov/Official account: @SenDeanHeller #Battleborn #NVsen",Wed May 20 14:01:08 +0000 2009,http://t.co/kspDbWi8Vd,"Carson City, Nevada",None,None,1571,12367,25979,4895,http://pbs.twimg.com/profile_images/1047639666336256000/OJkSDgqq.jpg,dean heller,dean heller
8.43188328406737e+16,0.1166464155528554,652.5054678007291,0.00016713929188976893,4115.0,4.061708186871665e-08,50055701,Mitt Romney,MittRomney,"Husband, Father, Grandfather, Former Governor, U.S. Senator (R-UT). Follow @SenatorRomney for official updates.",Tue Jun 23 18:24:04 +0000 2009,https://t.co/dgU6xXHgmU,"Holladay, UT",None,None,14,305,1963687,1837,http://pbs.twimg.com/profile_images/964489716622966784/xbtCe2td.jpg,mitt romney,mitt romney
1.9590765472073648e+17,23.577446699203698,3614.6480863087595,0.008374174821848102,3893.0,2.1510852355119644e-06,63150856,Marsha Blackburn,VoteMarsha,"Wife, mother of two, Marshie to my grand kids. First female Senator from the great state of Tennessee. Snap: teammarsha • Insta: team.marsha",Wed Aug 05 14:44:11 +0000 2009,https://t.co/1y6JSRDk0T,"Tennessee, USA",None,None,511,2913,38033,6025,http://pbs.twimg.com/profile_images/1060303815998664706/nNojD2QE.jpg,marsha blackburn,marsha blackburn
4.1291298423188563e+17,0.19353023909985936,808.3023909985935,0.00013358932551773656,3555.0,3.757786934394839e-08,72198806,Kirsten Gillibrand,SenGillibrand,"Mom to Theo, Henry and dog Maple. Wife to Jonathan. U.S. Senator from NY. Not “very polite.”",Mon Sep 07 03:53:24 +0000 2009,https://t.co/qccoyKkdDN,New York,None,None,733,1064,1463112,19109,http://pbs.twimg.com/profile_images/1139649498786013184/3aHp3eOC.jpg,kirsten gillibrand,kirsten gillibrand
4.2113526305537965e+17,1.7652003362286355,1120.28663491174,0.0035749550371687237,3569.0,1.0016685450178538e-06,92186819,Senator Mazie Hirono,maziehirono,U.S. Senator Mazie K. Hirono - Proudly Serving the People of Hawaii,Tue Nov 24 03:10:37 +0000 2009,http://t.co/m4u3CFOBHg,Hawaii,None,None,99,1426,414932,5658,http://pbs.twimg.com/profile_images/1130916929957445632/mkavgyCa.jpg,senator mazie hirono,senator hirono
2.0561184739051818e+17,16.245174752217007,2906.8007303077725,0.01588809788260246,3834.0,4.144000491028291e-06,94154021,Bob Casey Jr.,Bob_Casey,Proud Pennsylvanian fighting for working families in the US Senate. Official campaign account. Tweets from Bob signed —Bob,Wed Dec 02 19:10:41 +0000 2009,https://t.co/uEp6yqPQSu,Pennsylvania,None,None,7,52,7420,1105,http://pbs.twimg.com/profile_images/937424930479763458/_iqzExGe.jpg,bob casey jr,bob jr
7.798443280320957e+16,0.4299666507860886,1069.0671748451643,0.0005241256659263445,4198.0,1.248512782101822e-07,95713333,Gov. Gary Johnson,GovGaryJohnson,"Official Twitter of Governor Gary Johnson, founder of @ouramericainfo, and former two-term Governor of New Mexico.",Wed Dec 09 19:25:37 +0000 2009,https://t.co/3M2npiPOo8,New Mexico,None,None,561,3488,306400,5355,http://pbs.twimg.com/profile_images/921094906227056640/MLbGC1P1.jpg,gov gary johnson,gov johnson
3.000391316454817e+17,25.22420382165605,2538.8700636942676,0.030151065624623483,785.0,3.840900079569875e-05,101348737,Arvin Vohra,arvinvohra,I'm running for president to end the welfare state and end the income tax.,Sun Jan 03 00:13:37 +0000 2010,https://t.co/L4LK0vAFsg, ,None,None,14,656,1010,135,http://pbs.twimg.com/profile_images/1060052773398556672/Wv8m2LL4.jpg,arvin vohra,arvin vohra
1.4747533516877075e+17,24.416100872938895,14592.576139670224,0.017773517143296325,1031.0,1.7239104891655005e-05,108460311,Murray Sabrin,msabrin,"Murray Sabrin is professor of finance, Ramapo College of New Jersey and founder of the Sabrin Center for Free Enterprise, https://t.co/U1Yir55Ekq",Tue Jan 26 01:00:41 +0000 2010,https://t.co/YjQoPgZ435,"Ft. Lee, NJ",None,None,82,1980,1220,1565,http://pbs.twimg.com/profile_images/966737611250327552/4C1kJTSR.jpg,murray sabrin,murray sabrin
5.0135097143509126e+17,2.436294564582116,1261.457627118644,0.008941864573617278,3422.0,2.6130521839910187e-06,109071031,Senator Ben Cardin,SenatorCardin,"U.S. Senator for Maryland. #SaveTheBay. Small Business, Foreign Relations, Enviro, Finance committees. https://t.co/Rwn7M4xbXO",Wed Jan 27 22:03:53 +0000 2010,https://t.co/Vn15gdjyCO,"Maryland, USA",None,None,1966,2818,244605,10606,http://pbs.twimg.com/profile_images/1138098556747866113/mfGRdxbk.jpg,senator ben cardin,senator cardin
5.141687880895199e+17,1.1585685190573174,1036.3913296479489,0.0042645311634999985,3437.0,1.240771359761419e-06,117501995,Sen. Maria Cantwell,SenatorCantwell,U.S. Senator from Washington State | Tweets from Maria are signed –MC | Facebook: https://t.co/qLmMk10nJI RT≠endorsement,Thu Feb 25 19:21:52 +0000 2010,https://t.co/5P50HzPLoB,"Washington, DC",None,None,838,2207,230312,8428,http://pbs.twimg.com/profile_images/1112707249032626176/j7drmGgX.png,sen maria cantwell,sen cantwell
1.1106158556035e+17,13.766705744431418,8330.94958968347,0.012468015630007387,853.0,1.4616665451356823e-05,138526050,Arvin Vohra,VoteVohra,"Arvin Vohra is a candidate for U.S. Senate, and the Vice Chair of the Libertarian National Committee. His goal is cut government and advance freedom.",Thu Apr 29 20:13:25 +0000 2010,http://t.co/nDS7siDrPo,"Bethesda, MD",None,None,2,1794,983,1771,http://pbs.twimg.com/profile_images/860753740/26977_1137950468502_1819605950_270330_391127_n.jpg,arvin vohra,arvin vohra
